Author	n (strains)	publication title	journal	publication URL	strains
Mak et al	18	unknown	unknown	unknown	Singapore/20/2020,Singapore/12Clin/2020,Singapore/15/2020,Singapore/14Clin/2020,Singapore/21/2020,Singapore/16/2020,Singapore/18/2020,Singapore/19/2020,Singapore/17/2020,Singapore/41/2020,Singapore/42/2020,Singapore/3Clin/2020,Singapore/1/2020,Singapore/35/2020,Singapore/36/2020,Singapore/38/2020,Singapore/39/2020,Singapore/37/2020
Mohd Noor Mat Isa et al	6	unknown	unknown	unknown	Malaysia/MKAK-CL-2020-6430/2020,Malaysia/MKAK-CL-2020-5096/2020,Malaysia/MKAK-CL-2020-7554/2020,Malaysia/MKAK-CL-2020-5045/2020,Malaysia/MKAK-CL-2020-5049/2020,Malaysia/MKAK-CL-2020-5047/2020
Joel Armando Vazquez Perez et al	5	unknown	unknown	unknown	Mexico/CDMX-INER_05/2020,Mexico/CDMX-INER_03/2020,Mexico/CDMX-INER_04/2020,Mexico/CDMX-INER_02/2020,Mexico/CDMX-INER_01/2020
Adnan Araiza Rodriguez et al	1	unknown	unknown	unknown	Mexico/CDMX-InDRE_06/2020
Chu et al et al	1	unknown	unknown	unknown	USA/WA-S5/2020
Chu etl al et al	1	unknown	unknown	unknown	USA/WA-S94/2020
Eden et al	6	unknown	unknown	unknown	Australia/NSW04/2020,Australia/NSW01/2020,Australia/NSW03/2020,Australia/NSW05/2020,Australia/NSW07/2020,Australia/NSW06/2020
Zhao et al et al	1	unknown	unknown	unknown	Guangzhou/GZMU0042/2020
Tao et al	10	unknown	unknown	unknown	USA/AZ1/2020,USA/MA_1355/2020,USA/GA_2741/2020,USA/OR_2656/2020,USA/CA5/2020,USA/IL1/2020,USA/CA_2602/2020,USA/WA_5030/2020,USA/GA_2742/2020,USA/IA_6396/2020
Braun et al	1	unknown	unknown	unknown	Japan/UT-NCGM02/2020
Storey et al	5	unknown	unknown	unknown	NewZealand/20VR0276/2020,NewZealand/01/2020,NewZealand/20VR0206/2020,NewZealand/20VR019/2020,NewZealand/20VR0189/2020
Uehara et al	5	unknown	unknown	unknown	USA/CA1/2020,USA/CA2/2020,USA/TX_2020/2020,USA/FL_5091/2020,USA/FL_5125/2020
Li et al	14	unknown	unknown	unknown	USA/IL2/2020,Hangzhou/HZCDC6789/2020,Shangrao/JX1215/2020,Hangzhou/HZCDC0048L/2020,Hangzhou/HZCDC0091L/2020,Hangzhou/HZCDC0049L/2020,Hangzhou/HZCDC0048/2020,Hangzhou/HZCDC0090L/2020,Hangzhou/HZCDC0119/2020,Shangrao/JX1178/2020,Hangzhou/HZCDC0001/2020,Hangzhou/HZCDC6706/2020,USA/VA_6352/2020,USA/VA_6377/2020
Wellington SCL et al	1	unknown	unknown	unknown	NewZealand/20VR0275/2020
Dominic N.C. Tsang et al	7	unknown	unknown	unknown	HongKong/VM20001061/2020,HongKong/VM20002582/2020,HongKong/VB20024950/2020,HongKong/VM20002507/2020,HongKong/VM20002493/2020,HongKong/VB20026565/2020,HongKong/VM20002849/2020
Kenneth Siu-Sing LEUNG et al	20	unknown	unknown	unknown	HongKong/HKPU1_2101/2020,HongKong/HKPU53-0802/2020,HongKong/HKPU48-0202/2020,HongKong/HKPU2_1801/2020,HongKong/HKPU102_2802/2020,HongKong/HKPU23_2601/2020,HongKong/HKPU73-0802/2020,HongKong/HKPU70-1302/2020,HongKong/HKPU19_0402/2020,HongKong/HKPU42-0302/2020,HongKong/HKPU12_2201/2020,HongKong/HKPU52-3101/2020,HongKong/HKPU17_2201/2020,HongKong/HKPU49-3001/2020,HongKong/HKPU28_3001/2020,HongKong/HKPU57-0702/2020,HongKong/HKPU63-1402/2020,HongKong/HKPU60-0802/2020,HongKong/HKPU66-2501/2020,HongKong/HKPU6_2101/2020
Le Quynh Mai et al	5	unknown	unknown	unknown	Vietnam/CM99/2020,Vietnam/38142/2020,Vietnam/39607/2020,Vietnam/CM295/2020,Vietnam/CM296/2020
Ung Thi Hong Trang et al	1	unknown	unknown	unknown	Vietnam/VR03-38142/2020
Kang et al	7	unknown	unknown	unknown	SouthKorea/KUMC01/2020,SouthKorea/KUMC06/2020,SouthKorea/KUMC04/2020,SouthKorea/KUMC05/2020,SouthKorea/KUMC03/2020,SouthKorea/KUMC02/2020,Guangdong/20SF201/2020
Moreno et al	5	unknown	unknown	unknown	USA/WI-88/2020,USA/WI-96/2020,USA/WI-86/2020,USA/WI-99/2020,USA/WI-104/2020
Lu et al	5	unknown	unknown	unknown	Guangdong/2020XN4243-P0035/2020,Guangdong/GD2020115-P0009/2020,Guangdong/GD2020134-P0031/2020,Guangdong/GDSZ202008-P0020/2020,Guangdong/GDFS2020054-P0005/2020
Anderson et al	21	unknown	unknown	unknown	Singapore/4/2020,Singapore/12/2020,Singapore/13/2020,Singapore/14/2020,Singapore/23/2020,Singapore/30/2020,Singapore/22/2020,Singapore/5/2020,Singapore/27/2020,Singapore/3/2020,Singapore/2/2020,Singapore/6/2020,Singapore/25/2020,Singapore/29/2020,Singapore/26/2020,Singapore/24/2020,Singapore/28/2020,Singapore/34/2020,Singapore/33/2020,Singapore/32/2020,Singapore/31/2020
Placide Mbala-Kingebeni et al	20	unknown	unknown	unknown	DRC/300/2020,DRC/158/2020,DRC/KN-0059/2020,DRC/253/2020,DRC/521/2020,DRC/241/2020,DRC/KN-0017/2020,DRC/KN-0060/2020,DRC/243/2020,DRC/254/2020,DRC/KN-13/2020,DRC/81/2020,DRC/KN-0054/2020,DRC/KN-0043/2020,DRC/73/2020,DRC/80/2020,DRC/KN-0072/2020,DRC/KN-0070/2020,DRC/248/2020,DRC/82/2020
Dia et al	21	unknown	unknown	unknown	Senegal/618/2020,Senegal/620/2020,Senegal/136/2020,Senegal/306/2020,Senegal/382/2020,Senegal/611/2020,Senegal/370/2020,Senegal/640/2020,Senegal/026/2020,Senegal/003/2020,Senegal/020/2020,Senegal/016/2020,Senegal/119/2020,Senegal/094/2020,Senegal/082/2020,Senegal/073/2020,Senegal/087/2020,Senegal/102/2020,Senegal/600/2020,Senegal/315/2020,Senegal/139/2020
Ngoi et al	14	unknown	unknown	unknown	Ghana/3176_S11/2020,Ghana/2828_S6/2020,Ghana/1651_S3/2020,Ghana/2850_S15/2020,Ghana/3177_S12/2020,Ghana/2230_S4/2020,Ghana/2333_S5/2020,Ghana/2914_S8/2020,Ghana/1565_S13/2020,Ghana/2944_S9/2020,Ghana/2986_S10/2020,Ghana/1622_S2/2020,Ghana/2853_S7/2020,Ghana/1659_S14/2020
Batty et al	5	unknown	unknown	unknown	Thailand/Bangkok-CONI-0019/2020,Thailand/Bangkok-CONI-0017/2020,Thailand/Bangkok-CONI-0022/2020,Thailand/Bangkok-CONI-0021/2020,Thailand/Bangkok-CONI-0020/2020
Yang et al	7	unknown	unknown	unknown	Taiwan/3/2020,Taiwan/2/2020,Taiwan/4/2020,Taiwan/144/2020,Taiwan/128/2020,Taiwan/225/2020,Taiwan/125/2020
Gisela Barrera Badillo et al	1	unknown	unknown	unknown	Mexico/Queretaro-InDRE_04/2020
Guiomar et al et al	16	unknown	unknown	unknown	Portugal/PT0063/2020,Portugal/PT0054/2020,Portugal/PT0058/2020,Portugal/PT0019/2020,Portugal/PT0010/2020,Portugal/PT0007/2020,Portugal/PT0028/2020,Portugal/PT0016/2020,Portugal/PT0051/2020,Portugal/PT0093/2020,Portugal/PT0070/2020,Portugal/PT0073/2020,Portugal/PT0091/2020,Portugal/PT0021/2020,Portugal/PT0011/2020,Portugal/PT0004/2020
Castillo et al	4	unknown	unknown	unknown	Chile/Talca-1/2020,Chile/Talca-2/2020,Chile/Santiago-1/2020,Chile/Santiago-2/2020
Marcela Mercado-Reyes et al	2	unknown	unknown	unknown	Colombia/Antioquia79256/2020,Colombia/Bogota78390/2020
Adams et al	23	unknown	unknown	unknown	Germany/NRW-39/2020,Germany/NRW-31/2020,Germany/NRW-10/2020,Germany/NRW-09/2020,Germany/NRW-04/2020,Germany/NRW-07/2020,Germany/NRW-01/2020,Germany/NRW-08/2020,Germany/NRW-06/2020,Germany/NRW-05/2020,Germany/NRW-03/2020,Germany/NRW-02-1/2020,Germany/NRW-16/2020,Germany/NRW-14/2020,Germany/NRW-17/2020,Germany/NRW-45/2020,Germany/NRW-55/2020,Germany/NRW-011/2020,Germany/NRW-19/2020,Germany/NRW-41/2020,Germany/NRW-32/2020,Germany/NRW-54/2020,Germany/NRW-51/2020
Irma Lopez Martinez et al	1	unknown	unknown	unknown	Mexico/EdoMex-InDRE_03/2020
Vanmechelen et al	4	unknown	unknown	unknown	Belgium/GHB-03021/2020,Belgium/CG-030158/2020,Belgium/BA-02291/2020,Belgium/VDLH-030548/2020
Yeh et al	11	unknown	unknown	unknown	Taiwan/NTU01/2020,Taiwan/NTU06/2020,Taiwan/NTU02/2020,Taiwan/NTU14/2020,Taiwan/NTU03/2020,Taiwan/NTU08/2020,Taiwan/NTU09/2020,Taiwan/NTU15/2020,Taiwan/NTU16/2020,Taiwan/NTU19/2020,Taiwan/NTU21/2020
Dahdouh et al	2	unknown	unknown	unknown	Spain/Madrid_R10_33/2020,Spain/Madrid_LP14_3/2020
Murtskhvaladze et al	4	unknown	unknown	unknown	Georgia/Tb-390/2020,Georgia/Tb-1523/2020,Georgia/Tb-673/2020,Georgia/Tb-273/2020
Nascimento et al	1	unknown	unknown	unknown	Brazil/AMBR-02/2020
Albert et al	21	unknown	unknown	unknown	France/GE1583/2020,France/IDF0373/2020,France/IDF0372/2020,France/IDF0515/2020,France/IDF0626/2020,France/IDF2792/2020,France/N1620/2020,France/B1623/2020,France/HF1684/2020,France/IDF1980/2020,France/HF1465/2020,France/PL1643/2020,France/B2330/2020,Algeria/G0860_2262/2020,Algeria/G0638_2264/2020,Algeria/G0640_2265/2020,France/HF1645/2020,France/B2346/2020,France/GE1973/2020,France/IDF2849/2020,France/IDF3230/2020
Anke Wienecke-Baldacchino et al	21	unknown	unknown	unknown	Luxembourg/LNS3307371/2020,Luxembourg/LNS0641910/2020,Luxembourg/LNS0945359/2020,Luxembourg/LNS1870254/2020,Luxembourg/LNS3694003/2020,Luxembourg/LNS7866283/2020,Luxembourg/LNS0366116/2020,Luxembourg/LNS9862689/2020,Luxembourg/LNS5032431/2020,Luxembourg/LNS3711853/2020,Luxembourg/LNS6689955/2020,Luxembourg/LNS3052946/2020,Luxembourg/LNS1644489/2020,Luxembourg/LNS2151006/2020,Luxembourg/LNS4845603/2020,Luxembourg/LNS1874423/2020,Luxembourg/LNS0000001/2020,Luxembourg/LNS0272441/2020,Luxembourg/LNS1918658/2020,Luxembourg/LNS0716877/2020,Luxembourg/LNS2334563/2020
Griselda De Marco et al	1	unknown	unknown	unknown	Spain/Valencia6/2020
Giuseppe D'Auria et al	2	unknown	unknown	unknown	Spain/Valencia23/2020,Spain/Valencia8/2020
Navarro et al	2	unknown	unknown	unknown	Spain/Valencia54/2020,Spain/Valencia55/2020
Maria Alma Bracho et al	3	unknown	unknown	unknown	Spain/Valencia4/2020,Spain/Valencia89/2020,Spain/Valencia37/2020
Medina et al	3	unknown	unknown	unknown	Chile/Santiago_op3d1/2020,Chile/Santiago_op2d1/2020,Chile/Santiago_op4d1/2020
Lidia Ruiz Roldan et al	1	unknown	unknown	unknown	Spain/Valencia27/2020
Carbo et al	1	unknown	unknown	unknown	Spain/Valencia62/2020
Inma Galan Vendrell et al	1	unknown	unknown	unknown	Spain/Valencia61/2020
Bas Oude Munnink et al	34	unknown	unknown	unknown	Netherlands/NoordBrabant_76/2020,Netherlands/Limburg_9/2020,Netherlands/NA_42/2020,Netherlands/NA_297/2020,Netherlands/NA_318/2020,Netherlands/NA_295/2020,Netherlands/NA_294/2020,Netherlands/NA_298/2020,Netherlands/NA_166/2020,Netherlands/NA_313/2020,Netherlands/NA_133/2020,Netherlands/NoordBrabant_80/2020,Netherlands/NA_299/2020,Netherlands/NA_310/2020,Netherlands/Utrecht_21/2020,Netherlands/NA_309/2020,Netherlands/Friesland_2/2020,Netherlands/NA_130/2020,Netherlands/NA_36/2020,Netherlands/NA_312/2020,Netherlands/NA_291/2020,Netherlands/NA_300/2020,Netherlands/NA_315/2020,Netherlands/NA_317/2020,Netherlands/NA_293/2020,Netherlands/NA_314/2020,Netherlands/NA_308/2020,Netherlands/ZuidHolland_66/2020,Netherlands/NA_200/2020,Netherlands/NA_296/2020,Netherlands/NA_224/2020,Netherlands/ZuidHolland_55/2020,Netherlands/ZuidHolland_100/2020,Netherlands/NA_303/2020
Neris Garcia-Gonzalez et al	4	unknown	unknown	unknown	Spain/Valencia60/2020,Spain/Valencia31/2020,Spain/Valencia7/2020,Spain/Valencia25/2020
Beamud et al	1	unknown	unknown	unknown	Spain/Valencia57/2020
