Author	n (strains)	publication title	journal	publication URL	strains
Caly et al	22	unknown	unknown	unknown	Australia/VIC01/2020,Australia/VIC13/2020,Australia/VIC07/2020,Australia/VIC138/2020,Australia/VIC15/2020,Australia/VIC02/2020,Australia/VIC03/2020,Australia/VIC176/2020,Australia/VIC152/2020,Australia/VIC14/2020,Australia/VIC26/2020,Australia/VIC197/2020,Australia/VIC29/2020,Australia/VIC240/2020,Australia/VIC199/2020,Australia/VIC202/2020,Australia/VIC148/2020,Australia/VIC201/2020,Australia/VIC154/2020,Australia/VIC284/2020,Australia/VIC286/2020,Australia/VIC285/2020
Yao et al	2	unknown	unknown	unknown	Hangzhou/ZJU-011/2020,Hangzhou/ZJU-05/2020
Bas Oude Munnink et al	325	unknown	unknown	unknown	Netherlands/NoordBrabant_99/2020,Netherlands/NoordBrabant_76/2020,Netherlands/Limburg_9/2020,Netherlands/NA_42/2020,Netherlands/Gelderland_8/2020,Netherlands/NA_79/2020,Netherlands/NA_65/2020,Netherlands/NA_73/2020,Netherlands/NA_247/2020,Netherlands/NA_269/2020,Netherlands/NA_145/2020,Netherlands/NA_104/2020,Netherlands/NA_238/2020,Netherlands/NA_215/2020,Netherlands/NA_191/2020,Netherlands/NA_47/2020,Netherlands/NoordBrabant_73/2020,Netherlands/ZuidHolland_33/2020,Netherlands/NA_190/2020,Netherlands/NA_59/2020,Netherlands/NA_43/2020,Netherlands/NA_208/2020,Netherlands/ZuidHolland_38/2020,Netherlands/NA_295/2020,Netherlands/NA_294/2020,Netherlands/NA_298/2020,Netherlands/NoordBrabant_69/2020,Netherlands/ZuidHolland_81/2020,Netherlands/NA_318/2020,Netherlands/NA_297/2020,Netherlands/NA_276/2020,Netherlands/NA_48/2020,Netherlands/NA_74/2020,Netherlands/NA_60/2020,Netherlands/NA_199/2020,Netherlands/NA_72/2020,Netherlands/NA_230/2020,Netherlands/NA_129/2020,Netherlands/NA_201/2020,Netherlands/NA_57/2020,Netherlands/Gelderland_11/2020,Netherlands/NA_166/2020,Netherlands/NA_234/2020,Netherlands/ZuidHolland_47/2020,Netherlands/NA_133/2020,Netherlands/NoordBrabant_87/2020,Netherlands/NA_67/2020,Netherlands/Gelderland_9/2020,Netherlands/NA_132/2020,Netherlands/NA_137/2020,Netherlands/ZuidHolland_32/2020,Netherlands/NA_287/2020,Netherlands/NA_273/2020,Netherlands/NA_135/2020,Netherlands/NA_88/2020,Netherlands/NA_97/2020,Netherlands/NoordBrabant_83/2020,Netherlands/NoordBrabant_92/2020,Netherlands/NA_112/2020,Netherlands/NoordBrabant_79/2020,Netherlands/NoordBrabant_97/2020,Netherlands/NoordBrabant_82/2020,Netherlands/NoordBrabant_94/2020,Netherlands/Gelderland_10/2020,Netherlands/NoordBrabant_77/2020,Netherlands/NA_313/2020,Netherlands/NA_207/2020,Netherlands/NoordBrabant_95/2020,Netherlands/ZuidHolland_95/2020,Netherlands/NA_185/2020,Netherlands/NA_227/2020,Netherlands/NA_226/2020,Netherlands/NA_195/2020,Netherlands/ZuidHolland_63/2020,Netherlands/ZuidHolland_48/2020,Netherlands/NoordBrabant_93/2020,Netherlands/ZuidHolland_94/2020,Netherlands/NA_63/2020,Netherlands/NA_82/2020,Netherlands/NoordBrabant_80/2020,Netherlands/NA_178/2020,Netherlands/NA_45/2020,Netherlands/NA_211/2020,Netherlands/NA_50/2020,Netherlands/NA_44/2020,Netherlands/NA_76/2020,Netherlands/NA_175/2020,Netherlands/NA_83/2020,Netherlands/NoordHolland_31/2020,Netherlands/Gelderland_5/2020,Netherlands/NA_84/2020,Netherlands/NA_71/2020,Netherlands/NoordBrabant_75/2020,Netherlands/NA_77/2020,Netherlands/NA_70/2020,Netherlands/NA_180/2020,Netherlands/NA_214/2020,Netherlands/NA_193/2020,Netherlands/NA_245/2020,Netherlands/NA_228/2020,Netherlands/NoordBrabant_72/2020,Netherlands/NA_40/2020,Netherlands/ZuidHolland_85/2020,Netherlands/NA_128/2020,Netherlands/NA_154/2020,Netherlands/Flevoland_2/2020,Netherlands/NA_259/2020,Netherlands/ZuidHolland_72/2020,Netherlands/NA_89/2020,Netherlands/NA_222/2020,Netherlands/NA_219/2020,Netherlands/ZuidHolland_102/2020,Netherlands/Friesland_7/2020,Netherlands/NA_109/2020,Netherlands/NA_49/2020,Netherlands/ZuidHolland_69/2020,Netherlands/NA_213/2020,Netherlands/NA_138/2020,Netherlands/NA_310/2020,Netherlands/ZuidHolland_83/2020,Netherlands/NA_95/2020,Netherlands/ZuidHolland_103/2020,Netherlands/Utrecht_22/2020,Netherlands/NA_163/2020,Netherlands/NA_164/2020,Netherlands/NA_237/2020,Netherlands/ZuidHolland_43/2020,Netherlands/Limburg_8/2020,Netherlands/NA_54/2020,Netherlands/NA_92/2020,Netherlands/NA_53/2020,Netherlands/NA_119/2020,Netherlands/Utrecht_21/2020,Netherlands/NA_250/2020,Netherlands/NA_225/2020,Netherlands/NA_130/2020,Netherlands/Friesland_2/2020,Netherlands/NA_251/2020,Netherlands/NA_282/2020,Netherlands/NA_286/2020,Netherlands/NA_279/2020,Netherlands/NA_309/2020,Netherlands/NA_62/2020,Netherlands/NA_37/2020,Netherlands/NA_51/2020,Netherlands/NA_36/2020,Netherlands/NA_38/2020,Netherlands/NA_231/2020,Netherlands/NA_265/2020,Netherlands/NA_272/2020,Netherlands/NA_186/2020,Netherlands/NA_312/2020,Netherlands/NA_94/2020,Netherlands/NA_299/2020,Netherlands/NA_223/2020,Netherlands/ZuidHolland_65/2020,Netherlands/NA_61/2020,Netherlands/Gelderland_7/2020,Netherlands/NA_90/2020,Netherlands/NoordBrabant_102/2020,Netherlands/NA_305/2020,Netherlands/ZuidHolland_60/2020,Netherlands/NA_292/2020,Netherlands/NA_177/2020,Netherlands/NA_266/2020,Netherlands/NA_174/2020,Netherlands/ZuidHolland_34/2020,Netherlands/NA_168/2020,Netherlands/ZuidHolland_89/2020,Netherlands/NA_301/2020,Netherlands/NoordHolland_5/2020,Netherlands/NA_258/2020,Netherlands/NA_196/2020,Netherlands/NA_210/2020,Netherlands/ZuidHolland_77/2020,Netherlands/NA_268/2020,Netherlands/ZuidHolland_56/2020,Netherlands/NA_235/2020,Netherlands/NA_274/2020,Netherlands/NA_291/2020,Netherlands/NA_198/2020,Netherlands/NA_212/2020,Netherlands/NA_244/2020,Netherlands/NA_271/2020,Netherlands/NA_107/2020,Netherlands/NA_243/2020,Netherlands/ZuidHolland_92/2020,Netherlands/NA_161/2020,Netherlands/ZuidHolland_64/2020,Netherlands/ZuidHolland_42/2020,Netherlands/NA_96/2020,Netherlands/Friesland_5/2020,Netherlands/NA_311/2020,Netherlands/ZuidHolland_104/2020,Netherlands/NA_99/2020,Netherlands/ZuidHolland_86/2020,Netherlands/Friesland_3/2020,Netherlands/NA_110/2020,Netherlands/Friesland_10/2020,Netherlands/NA_100/2020,Netherlands/NA_103/2020,Netherlands/NA_206/2020,Netherlands/NA_101/2020,Netherlands/NA_194/2020,Netherlands/NA_255/2020,Netherlands/ZuidHolland_78/2020,Netherlands/NA_300/2020,Netherlands/NA_197/2020,Netherlands/NA_205/2020,Netherlands/ZuidHolland_39/2020,Netherlands/NoordHolland_4/2020,Netherlands/Drente_1/2020,Netherlands/Gelderland_12/2020,Netherlands/NoordBrabant_86/2020,Netherlands/ZuidHolland_68/2020,Netherlands/ZuidHolland_35/2020,Netherlands/ZuidHolland_36/2020,Netherlands/ZuidHolland_59/2020,Netherlands/ZuidHolland_62/2020,Netherlands/NA_172/2020,Netherlands/NA_260/2020,Netherlands/NA_188/2020,Netherlands/NA_87/2020,Netherlands/ZuidHolland_79/2020,Netherlands/ZuidHolland_71/2020,Netherlands/ZuidHolland_76/2020,Netherlands/NA_218/2020,Netherlands/ZuidHolland_82/2020,Netherlands/ZuidHolland_88/2020,Netherlands/ZuidHolland_90/2020,Netherlands/Friesland_9/2020,Netherlands/Friesland_6/2020,Netherlands/ZuidHolland_91/2020,Netherlands/NA_236/2020,Netherlands/ZuidHolland_75/2020,Netherlands/NA_315/2020,Netherlands/ZuidHolland_70/2020,Netherlands/NA_257/2020,Netherlands/ZuidHolland_80/2020,Netherlands/NA_127/2020,Netherlands/NA_184/2020,Netherlands/NA_249/2020,Netherlands/ZuidHolland_61/2020,Netherlands/NA_183/2020,Netherlands/NA_118/2020,Netherlands/NA_169/2020,Netherlands/NA_170/2020,Netherlands/ZuidHolland_40/2020,Netherlands/NA_290/2020,Netherlands/ZuidHolland_37/2020,Netherlands/NA_189/2020,Netherlands/ZuidHolland_41/2020,Netherlands/NA_156/2020,Netherlands/NA_263/2020,Netherlands/NA_317/2020,Netherlands/NA_288/2020,Netherlands/NA_239/2020,Netherlands/NA_171/2020,Netherlands/NA_275/2020,Netherlands/NA_293/2020,Netherlands/NA_302/2020,Netherlands/NA_91/2020,Netherlands/ZuidHolland_97/2020,Netherlands/NA_150/2020,Netherlands/NA_159/2020,Netherlands/Gelderland_6/2020,Netherlands/Friesland_4/2020,Netherlands/NA_121/2020,Netherlands/NoordBrabant_103/2020,Netherlands/NA_304/2020,Netherlands/NoordBrabant_101/2020,Netherlands/NoordBrabant_70/2020,Netherlands/Utrecht_20/2020,Netherlands/NoordBrabant_71/2020,Netherlands/NA_167/2020,Netherlands/NA_192/2020,Netherlands/Limburg_10/2020,Netherlands/ZuidHolland_66/2020,Netherlands/ZuidHolland_57/2020,Netherlands/NoordBrabant_104/2020,Netherlands/ZuidHolland_54/2020,Netherlands/NoordBrabant_81/2020,Netherlands/NoordBrabant_98/2020,Netherlands/NA_157/2020,Netherlands/ZuidHolland_67/2020,Netherlands/NoordBrabant_96/2020,Netherlands/NoordBrabant_100/2020,Netherlands/NA_200/2020,Netherlands/NA_179/2020,Netherlands/ZuidHolland_53/2020,Netherlands/NoordBrabant_85/2020,Netherlands/NoordBrabant_74/2020,Netherlands/NoordBrabant_105/2020,Netherlands/NoordBrabant_91/2020,Netherlands/ZuidHolland_74/2020,Netherlands/NA_241/2020,Netherlands/ZuidHolland_99/2020,Netherlands/ZuidHolland_96/2020,Netherlands/ZuidHolland_93/2020,Netherlands/ZuidHolland_84/2020,Netherlands/NA_296/2020,Netherlands/NA_162/2020,Netherlands/NA_261/2020,Netherlands/NA_307/2020,Netherlands/ZuidHolland_101/2020,Netherlands/NA_316/2020,Netherlands/NA_283/2020,Netherlands/NA_306/2020,Netherlands/NA_314/2020,Netherlands/NA_153/2020,Netherlands/NA_202/2020,Netherlands/ZuidHolland_98/2020,Netherlands/ZuidHolland_58/2020,Netherlands/NA_165/2020,Netherlands/NA_173/2020,Netherlands/ZuidHolland_44/2020,Netherlands/ZuidHolland_45/2020,Netherlands/ZuidHolland_52/2020,Netherlands/ZuidHolland_73/2020,Netherlands/NA_308/2020,Netherlands/ZuidHolland_55/2020,Netherlands/NA_224/2020,Netherlands/NA_289/2020,Netherlands/NA_303/2020,Netherlands/ZuidHolland_100/2020
Nieuwenhuijse et al	165	unknown	unknown	unknown	Netherlands/Tilburg_1363354/2020,Netherlands/Nieuwendijk_1363582/2020,Netherlands/Oss_1363500/2020,Netherlands/Utrecht_16/2020,Netherlands/Utrecht_17/2020,Netherlands/NoordBrabant_46/2020,Netherlands/ZuidHolland_16/2020,Netherlands/NA_29/2020,Netherlands/NoordBrabant_6/2020,Netherlands/NoordBrabant_25/2020,Netherlands/NoordBrabant_37/2020,Netherlands/NA_21/2020,Netherlands/ZuidHolland_8/2020,Netherlands/Utrecht_18/2020,Netherlands/NoordBrabant_23/2020,Netherlands/NA_35/2020,Netherlands/NoordBrabant_56/2020,Netherlands/NoordBrabant_22/2020,Netherlands/NA_34/2020,Netherlands/NA_14/2020,Netherlands/NoordBrabant_20/2020,Netherlands/NA_27/2020,Netherlands/NoordBrabant_47/2020,Netherlands/NoordBrabant_60/2020,Netherlands/NA_6/2020,Netherlands/Limburg_4/2020,Netherlands/ZuidHolland_27/2020,Netherlands/NoordBrabant_31/2020,Netherlands/NoordBrabant_28/2020,Netherlands/NoordBrabant_30/2020,Netherlands/ZuidHolland_21/2020,Netherlands/Utrecht_12/2020,Netherlands/ZuidHolland_7/2020,Netherlands/NA_22/2020,Netherlands/NoordBrabant_29/2020,Netherlands/Limburg_6/2020,Netherlands/NoordBrabant_10/2020,Netherlands/NoordBrabant_12/2020,Netherlands/Utrecht_19/2020,Netherlands/NoordBrabant_54/2020,Netherlands/NoordBrabant_11/2020,Netherlands/Hardinxveld_Giessendam_1364806/2020,Netherlands/NoordBrabant_32/2020,Netherlands/Rotterdam_1364040/2020,Netherlands/Naarden_1364774/2020,Netherlands/Andel_1365066/2020,Netherlands/NoordBrabant_48/2020,Netherlands/NA_32/2020,Netherlands/NA_33/2020,Netherlands/NoordBrabant_42/2020,Netherlands/NoordBrabant_27/2020,Netherlands/NoordBrabant_35/2020,Netherlands/Loon_op_zand_1363512/2020,Netherlands/Dalen_1363624/2020,Netherlands/NoordBrabant_19/2020,Netherlands/NoordBrabant_24/2020,Netherlands/NoordBrabant_38/2020,Netherlands/NoordBrabant_18/2020,Netherlands/NoordBrabant_57/2020,Netherlands/NoordBrabant_44/2020,Netherlands/NoordBrabant_68/2020,Netherlands/NoordBrabant_49/2020,Netherlands/NoordBrabant_52/2020,Luxembourg/Lux1/2020,Netherlands/Delft_1363424/2020,Netherlands/ZuidHolland_28/2020,Netherlands/Diemen_1363454/2020,Netherlands/Helmond_1363548/2020,Netherlands/Eindhoven_1363782/2020,Netherlands/Utrecht_14/2020,Netherlands/NoordBrabant_15/2020,Netherlands/Utrecht_13/2020,Netherlands/NoordBrabant_2/2020,Netherlands/ZuidHolland_24/2020,Netherlands/ZuidHolland_14/2020,Netherlands/NoordBrabant_14/2020,Netherlands/NoordHolland_2/2020,Netherlands/Utrecht_1/2020,Netherlands/Limburg_5/2020,Netherlands/ZuidHolland_2/2020,Netherlands/ZuidHolland_20/2020,Netherlands/NoordBrabant_36/2020,Netherlands/ZuidHolland_15/2020,Netherlands/ZuidHolland_19/2020,Netherlands/ZuidHolland_23/2020,Netherlands/NA_8/2020,Netherlands/Utrecht_15/2020,Netherlands/NoordBrabant_55/2020,Netherlands/ZuidHolland_26/2020,Netherlands/NA_12/2020,Netherlands/NA_26/2020,Netherlands/NA_11/2020,Netherlands/NoordBrabant_3/2020,Netherlands/NA_9/2020,Netherlands/ZuidHolland_18/2020,Netherlands/Utrecht_2/2020,Netherlands/ZuidHolland_6/2020,Netherlands/Limburg_3/2020,Netherlands/NA_15/2020,Netherlands/NA_25/2020,Netherlands/Berlicum_1363564/2020,Netherlands/ZuidHolland_1/2020,Netherlands/Utrecht_5/2020,Netherlands/Gelderland_1/2020,Netherlands/ZuidHolland_22/2020,Netherlands/ZuidHolland_11/2020,Netherlands/ZuidHolland_10/2020,Netherlands/NoordHolland_1/2020,Netherlands/Rotterdam_1364740/2020,Netherlands/Utrecht_10/2020,Netherlands/Overijssel_1/2020,Netherlands/Utrecht_7/2020,Netherlands/Utrecht_4/2020,Netherlands/Limburg_2/2020,Netherlands/ZuidHolland_25/2020,Netherlands/NoordBrabant_45/2020,Netherlands/NoordBrabant_58/2020,Netherlands/NA_19/2020,Netherlands/ZuidHolland_29/2020,Netherlands/NA_7/2020,Netherlands/Gelderland_3/2020,Netherlands/ZuidHolland_13/2020,Netherlands/Nootdorp_1364222/2020,Netherlands/Tilburg_1364286/2020,Netherlands/Overijssel_2/2020,Netherlands/NA_2/2020,Netherlands/NoordBrabant_39/2020,Netherlands/NoordBrabant_26/2020,Netherlands/Utrecht_1363564/2020,Netherlands/Utrecht_6/2020,Netherlands/Utrecht_1363628/2020,Netherlands/ZuidHolland_5/2020,Netherlands/ZuidHolland_9/2020,Netherlands/NA_23/2020,NetherlandsL/Houten_1363498/2020,Netherlands/NoordBrabant_17/2020,Netherlands/NoordBrabant_4/2020,Netherlands/NA_28/2020,Netherlands/NA_18/2020,Netherlands/NA_17/2020,Netherlands/Haarlem_1363688/2020,Netherlands/NA_30/2020,Netherlands/NA_24/2020,Netherlands/Utrecht_3/2020,Netherlands/NoordHolland_3/2020,Netherlands/NA_20/2020,Netherlands/ZuidHolland_30/2020,Netherlands/NA_10/2020,Netherlands/Flevoland_1/2020,Netherlands/NA_1/2020,Netherlands/NA_13/2020,Netherlands/NoordBrabant_59/2020,Netherlands/Blaricum_1364780/2020,Netherlands/Zeewolde_1365080/2020,Netherlands/ZuidHolland_17/2020,Netherlands/NA_16/2020,Netherlands/NA_31/2020,Netherlands/ZuidHolland_31/2020,Netherlands/NoordBrabant_21/2020,Netherlands/Gelderland_2/2020,Netherlands/NoordBrabant_13/2020,Netherlands/NoordBrabant_1/2020,Netherlands/Utrecht_8/2020,Netherlands/Utrecht_11/2020,Netherlands/NoordBrabant_16/2020
Mak et al	19	unknown	unknown	unknown	Singapore/14Clin/2020,Singapore/19/2020,Singapore/20/2020,Singapore/12Clin/2020,Singapore/16/2020,Singapore/21/2020,Singapore/18/2020,Singapore/15/2020,Singapore/41/2020,Singapore/40/2020,Singapore/42/2020,Singapore/3Clin/2020,Singapore/17/2020,Singapore/1/2020,Singapore/36/2020,Singapore/35/2020,Singapore/38/2020,Singapore/39/2020,Singapore/37/2020
Iglesias-Caballero et al	22	unknown	unknown	unknown	Spain/Andalucia201373/2020,Spain/CastillaLaMancha201328/2020,Spain/CastillaLaMancha201329/2020,Spain/Madrid201449/2020,Spain/Andalucia201617/2020,Spain/PaisVasco201602/2020,Spain/CastillayLeon201437/2020,Spain/PaisVasco201493/2020,Spain/CastillayLeon201323/2020,Spain/PaisVasco201382/2020,Spain/LaRioja201575/2020,Spain/PaisVasco201607/2020,Spain/CastillayLeon201372/2020,Spain/Canarias201495/2020,Spain/Madrid201738/2020,Spain/Andalucia201272/2020,Spain/CastillayLeon201061/2020,Spain/Madrid201105/2020,Spain/Madrid201706/2020,Spain/Madrid201442/2020,Spain/Madrid201709/2020,Spain/Galicia201663/2020
Potdar et al	2	unknown	unknown	unknown	India/1-31/2020,India/1-27/2020
Tao et al	9	unknown	unknown	unknown	USA/AZ1/2020,USA/OR_2656/2020,USA/GA_2741/2020,USA/CA5/2020,USA/IL1/2020,USA/GA_2742/2020,USA/MA_8932/2020,USA/RI_0520/2020,USA/IA_6391/2020
Kim et al	16	unknown	unknown	unknown	SouthKorea/KCDC24/2020,Korea/KCDC2002/2020,SouthKorea/KCDC05/2020,Korea/KCDC2006/2020,SouthKorea/KCDC07/2020,Korea/KCDC2008/2020,Korea/KCDC2009/2020,Korea/KCDC2011/2020,Korea/KCDC2010/2020,SouthKorea/KCDC03/2020,SouthKorea/KCDC06/2020,Korea/KCDC2001/2020,SouthKorea/KCDC12/2020,Korea/KCDC2005/2020,Korea/KCDC2004/2020,Korea/KCDC2007/2020
Eden et al	6	unknown	unknown	unknown	Australia/NSW04/2020,Australia/NSW01/2020,Australia/NSW07/2020,Australia/NSW05/2020,Australia/NSW06/2020,Australia/NSW03/2020
