Author	n (strains)	publication title	journal	publication URL	strains
Anderson et al	21	unknown	unknown	unknown	Singapore/4/2020,Singapore/13/2020,Singapore/12/2020,Singapore/22/2020,Singapore/30/2020,Singapore/14/2020,Singapore/23/2020,Singapore/5/2020,Singapore/3/2020,Singapore/27/2020,Singapore/2/2020,Singapore/6/2020,Singapore/25/2020,Singapore/29/2020,Singapore/26/2020,Singapore/32/2020,Singapore/28/2020,Singapore/24/2020,Singapore/34/2020,Singapore/33/2020,Singapore/31/2020
Dia et al	22	unknown	unknown	unknown	Senegal/618/2020,Senegal/620/2020,Senegal/136/2020,Senegal/306/2020,Senegal/119/2020,Senegal/094/2020,Senegal/087/2020,Senegal/082/2020,Senegal/102/2020,Senegal/073/2020,Senegal/600/2020,Senegal/315/2020,Senegal/139/2020,Senegal/382/2020,Senegal/611/2020,Senegal/370/2020,Senegal/328/2020,Senegal/640/2020,Senegal/026/2020,Senegal/003/2020,Senegal/020/2020,Senegal/016/2020
Ngoi et al	14	unknown	unknown	unknown	Ghana/3176_S11/2020,Ghana/2828_S6/2020,Ghana/1651_S3/2020,Ghana/2850_S15/2020,Ghana/3177_S12/2020,Ghana/2230_S4/2020,Ghana/1565_S13/2020,Ghana/2914_S8/2020,Ghana/2944_S9/2020,Ghana/2853_S7/2020,Ghana/1659_S14/2020,Ghana/2986_S10/2020,Ghana/1622_S2/2020,Ghana/2333_S5/2020
Queen et al	12	unknown	unknown	unknown	USA/CA7/2020,USA/WA1/2020,USA/CA8/2020,USA/CA3/2020,USA/CA4/2020,USA/TX_2039/2020,Korea/BA-ACH_2604/2020,Korea/BA-ACH_2719/2020,Korea/BA-ACH_2718/2020,USA/CA9/2020,USA/NH_0004/2020,USA/NH_0008/2020
Placide Mbala-Kingebeni et al	36	unknown	unknown	unknown	DRC/300/2020,DRC/299/2020,DRC/158/2020,DRC/KN-0059/2020,DRC/215/2020,DRC/523/2020,DRC/241/2020,DRC/431/2020,DRC/402/2020,DRC/KN-0054/2020,DRC/KN-0051/2020,DRC/73/2020,DRC/KN-0072/2020,DRC/KN-0070/2020,DRC/KN-0043/2020,DRC/80/2020,DRC/376/2020,DRC/396/2020,DRC/397/2020,DRC/214/2020,DRC/KN-0058/2020,DRC/82/2020,DRC/94/2020,DRC/253/2020,DRC/521/2020,DRC/248/2020,DRC/KN-0038/2020,DRC/236/2020,DRC/191/2020,DRC/108/2020,DRC/81/2020,DRC/KN-0017/2020,DRC/KN-13/2020,DRC/254/2020,DRC/243/2020,DRC/KN-0060/2020
Albert et al	27	unknown	unknown	unknown	France/GE1583/2020,France/IDF0372/2020,France/IDF0373/2020,France/IDF0515/2020,France/IDF0626/2020,France/N1620/2020,France/N2223/2020,France/GE1973/2020,France/HF2797/2020,France/GE2722/2020,France/IDF2684/2020,France/IDF3276/2020,France/B1623/2020,France/IDF2533/2020,France/IDF2410/2020,France/IDF2532/2020,France/HF1684/2020,France/IDF1980/2020,France/HF1465/2020,France/PL1643/2020,France/B2330/2020,Algeria/G0860_2262/2020,Algeria/G0638_2264/2020,Algeria/G0640_2265/2020,France/IDF3163/2020,France/IDF2359/2020,France/HF1645/2020
Murtskhvaladze et al	4	unknown	unknown	unknown	Georgia/Tb-390/2020,Georgia/Tb-1523/2020,Georgia/Tb-273/2020,Georgia/Tb-673/2020
Nascimento et al	1	unknown	unknown	unknown	Brazil/AMBR-02/2020
Griselda De Marco et al	1	unknown	unknown	unknown	Spain/Valencia6/2020
Maria Alma Bracho et al	3	unknown	unknown	unknown	Spain/Valencia4/2020,Spain/Valencia37/2020,Spain/Valencia89/2020
