Author	n (strains)	publication title	journal	publication URL	strains
Queen et al	12	unknown	unknown	unknown	USA/CA8/2020,USA/CA7/2020,USA/TX1/2020,USA/WA1/2020,USA/CA3/2020,USA/CA4/2020,USA/TX_2039/2020,Korea/BA-ACH_2604/2020,Korea/BA-ACH_2719/2020,Korea/BA-ACH_2718/2020,USA/IL_1293/2020,USA/IL_1375/2020
Zhao et al et al	5	unknown	unknown	unknown	Guangzhou/GZMU0014/2020,Guangzhou/GZMU0042/2020,Guangzhou/GZMU0044/2020,Guangzhou/GZMU0048/2020,Guangzhou/GZMU0030/2020
Anderson et al	21	unknown	unknown	unknown	Singapore/12/2020,Singapore/23/2020,Singapore/30/2020,Singapore/13/2020,Singapore/14/2020,Singapore/4/2020,Singapore/22/2020,Singapore/5/2020,Singapore/3/2020,Singapore/27/2020,Singapore/2/2020,Singapore/6/2020,Singapore/25/2020,Singapore/29/2020,Singapore/26/2020,Singapore/34/2020,Singapore/33/2020,Singapore/24/2020,Singapore/28/2020,Singapore/32/2020,Singapore/31/2020
Mak et al	19	unknown	unknown	unknown	Singapore/12Clin/2020,Singapore/15/2020,Singapore/18/2020,Singapore/21/2020,Singapore/14Clin/2020,Singapore/16/2020,Singapore/20/2020,Singapore/19/2020,Singapore/17/2020,Singapore/40/2020,Singapore/42/2020,Singapore/41/2020,Singapore/3Clin/2020,Singapore/36/2020,Singapore/1/2020,Singapore/35/2020,Singapore/38/2020,Singapore/39/2020,Singapore/37/2020
Iglesias-Caballero et al	7	unknown	unknown	unknown	Spain/Andalucia201373/2020,Spain/Andalucia201617/2020,Spain/Madrid201449/2020,Spain/Madrid201738/2020,Spain/Andalucia201272/2020,Spain/CastillayLeon201061/2020,Spain/Madrid201105/2020
Fan et al	6	unknown	unknown	unknown	Beijing/Wuhan_IME-BJ07/2020,Beijing/Wuhan_IME-BJ04/2020,Beijing/Wuhan_IME-BJ03/2020,Beijing/Wuhan_IME-BJ02/2020,Beijing/Wuhan_IME-BJ01/2020,Beijing/Wuhan_IME-BJ05/2020
Caly et al	17	unknown	unknown	unknown	Australia/VIC13/2020,Australia/VIC07/2020,Australia/VIC209/2020,Australia/VIC138/2020,Australia/VIC01/2020,Australia/VIC02/2020,Australia/VIC03/2020,Australia/VIC14/2020,Australia/VIC59/2020,Australia/VIC42/2020,Australia/VIC181/2020,Australia/VIC15/2020,Australia/VIC179/2020,Australia/VIC70/2020,Australia/VIC152/2020,Australia/VIC190/2020,Australia/VIC285/2020
Potdar et al	2	unknown	unknown	unknown	India/1-31/2020,India/1-27/2020
Galiano et al	49	unknown	unknown	unknown	England/01/2020,England/02/2020,England/20144003804/2020,England/200990002/2020,England/200960041/2020,England/20142015104/2020,England/200960515/2020,England/09c/2020,England/200940527/2020,England/200990725/2020,England/200990724/2020,England/20102087902/2020,England/20126008606/2020,England/20146011804/2020,England/200990006/2020,England/20144018704/2020,England/20146015504/2020,England/20139047104/2020,England/20144072804/2020,England/200641094/2020,England/200690306/2020,England/200690300/2020,England/200690756/2020,England/200690245/2020,England/20146005804/2020,England/20146049204/2020,England/20132079304/2020,England/20146001704/2020,England/20124003902/2020,England/20130071804/2020,England/20099038206/2020,England/20129010804/2020,England/20146025304/2020,England/20146008104/2020,England/20146006604/2020,England/20144071604/2020,England/20146006704/2020,England/20139057704/2020,England/20148043704/2020,England/20146062504/2020,England/20146004804/2020,England/20139047804/2020,England/200990660/2020,England/20136097704/2020,England/20099107406/2020,England/20110000706/2020,England/20108003302/2020,England/20144076204/2020,England/20144072604/2020
Kim et al	20	unknown	unknown	unknown	SouthKorea/KCDC24/2020,Korea/KCDC2003/2020,Korea/KCDC2002/2020,SouthKorea/KCDC05/2020,SouthKorea/KCDC07/2020,Korea/KCDC2006/2020,Korea/KCDC2011/2020,Korea/KCDC2010/2020,Korea/KCDC2008/2020,Korea/KCDC2009/2020,SouthKorea/KCDC03/2020,SouthKorea/KCDC06/2020,Korea/KCDC2014/2020,Korea/KCDC2013/2020,Korea/KCDC2012/2020,Korea/KCDC2001/2020,Korea/KCDC2007/2020,Korea/KCDC2004/2020,Korea/KCDC2005/2020,SouthKorea/KCDC12/2020
Jiang et al	5	unknown	unknown	unknown	Shandong/LY003/2020,Shandong/LY005/2020,Shandong/LY006/2020,Shandong/LY004/2020,Shandong/LY008/2020
Kang et al	18	unknown	unknown	unknown	SouthKorea/KUMC01/2020,SouthKorea/KUMC06/2020,SouthKorea/KUMC04/2020,SouthKorea/KUMC03/2020,SouthKorea/KUMC05/2020,Guangdong/20SF025/2020,Guangdong/20SF013/2020,Guangdong/20SF012/2020,Foshan/20SF207/2020,SouthKorea/KUMC02/2020,Foshan/20SF210/2020,Foshan/20SF211/2020,Guangdong/20SF174/2020,Guangdong/20SF028/2020,Guangdong/20SF040/2020,Guangdong/20SF014/2020,Guangzhou/20SF206/2020,Guangdong/20SF201/2020
